name,type,collection,finish,grade,color,species,Species_description,grade_description,availability,thickness,RELATIVE HUMIDITY,MADE IN,warranty,INSTALLATION,RADIANT HEAT APPROVED,LEVEL,description,image
Felt WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, FELT, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Felt.jpg
Felt WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, FELT, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Felt.jpg
Galena WHITE OAK,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, GALENA, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Galena.jpg
Gothic HICKORY,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, GOTHIC, HICKORY,"This species showcases the most extreme color variations of any of the species we carry. The sapwood is generally of an off-white color that can have pink or yellow undertones. The heartwood is of a dark or medium brown. Hickory’s grain pattern varies greatly from one board to the next, making for a very lively looking floor. Hickory is considerably denser than Red Oak and Maple, which makes it an excellent floor for high traffic areas.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,No,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Hickory-Excel-5-Gothic.jpg
Gothic WHITE OAK,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, GOTHIC, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Gothic.jpg
Gunstock RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, GUNSTOCK, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Gunstock.jpg
Gunstock HICKORY,Engineered, SIGNATURE, EVERSHINE™, EXCEL, GUNSTOCK, HICKORY,"This species showcases the most extreme color variations of any of the species we carry. The sapwood is generally of an off-white color that can have pink or yellow undertones. The heartwood is of a dark or medium brown. Hickory’s grain pattern varies greatly from one board to the next, making for a very lively looking floor. Hickory is considerably denser than Red Oak and Maple, which makes it an excellent floor for high traffic areas.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,No,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Hickory-Excel-5-Gunstock.jpg
Honey RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, HONEY, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Honey.jpg
Jasper RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, JASPER, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Jasper.jpg
Latte RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, LATTE, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Latte.jpg
Limestone HARD MAPLE,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, LIMESTONE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Limestome.jpg
Linen WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, LINEN, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Linen.jpg
Linen WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, LINEN, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Linen.jpg
Linen RED OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, LINEN, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-5-Linen.jpg
Madras WHITE OAK,Engineered, ALTA MODA, BRUSHED, LIVE SAWN CHARACTER, MADRAS, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Grade prized for its natural color variation and heavy character. Every floor done in this grade will have a unique appearance owing to the distinct nature of the tree from which the lumber was sawn. Classic grain will be predominant and vertical grain is accepted. Unlimited mineral streaks, character marks, ray flecks, cracks and splits are permitted. Sound, patched or open knots are also permitted of any diameter and frequency.","LIVE SAWN CHARACTER: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-LSC-7-Madras.jpg
Madras WHITE OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, MADRAS, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Madras.jpg
Medici RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, MEDICI, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Medici.jpg
Mica WHITE OAK,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, MICA, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Mica.jpg
Moderne HARD MAPLE,Engineered, ERA DESIGN, NATURAL OIL, PRESTIGE, MODERNE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Most color consistent grade, small mineral streaks and character marks permitted, small pin knots permitted.","PRESTIGE: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Prestige-3_25-Moderne.jpg
Moderne HARD MAPLE,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, MODERNE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Moderne.jpg
Moka RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, MOKA, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Moka.jpg
Moka HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, MOKA, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Moka.jpg
Natural RED OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, NATURAL, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-3_25-Natural.jpg
Natural HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, PRESTIGE, NATURAL, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Most color consistent grade, small mineral streaks and character marks permitted, small pin knots permitted.","PRESTIGE: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Prestige-3_25-Natural.jpg
Natural HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, NATURAL, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Natural.jpg
Natural HICKORY,Engineered, SIGNATURE, EVERSHINE™, EXCEL, NATURAL, HICKORY,"This species showcases the most extreme color variations of any of the species we carry. The sapwood is generally of an off-white color that can have pink or yellow undertones. The heartwood is of a dark or medium brown. Hickory’s grain pattern varies greatly from one board to the next, making for a very lively looking floor. Hickory is considerably denser than Red Oak and Maple, which makes it an excellent floor for high traffic areas.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,No,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Hickory-Excel-5-Natural.jpg
Natural WHITE OAK,Engineered, SIGNATURE, EVERSHINE™, EXCEL, NATURAL, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-5-Natural-UM.jpg
Natural RED OAK,Engineered, SIGNATURE, EVERSHINE™, PRESTIGE, NATURAL, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Most color consistent grade, small mineral streaks and character marks permitted, small pin knots permitted.","PRESTIGE: 4"", 5""","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Prestige-3.25-Natural.jpg
Neoclassic WHITE OAK,Engineered, ERA DESIGN, NATURAL OIL, EXCEL, NEOCLASSIC, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5"" | 7""","11,4 mm | 18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Neoclassic.jpg
Nickel HARD MAPLE,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, NICKEL, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Nickel.jpg
Opale WHITE OAK,Engineered, SPECIAL FX, EVERSHINE™, EXCEL, OPALE, WHITE OAK,"This species features neutral colored heartwood that varies from light beige to light brown. The sapwood can be paler or greyer. The grain pattern in White Oak is quite distinct due to the difference between the appearance of the open and closed grain. Classic oak patterning, including cathedral peaks, will be predominant in the Excel grade while vertical linear grain will rule the R&Q Excel grade. Classic grain will be predominant in Live Sawn Character grade, and vertical grain will also be accepted.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 7""","18,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/White-Oak-Excel-7-Opale.jpg
Pashmina RED OAK,Engineered, ALTA MODA, BRUSHED, EXCEL, PASHMINA, RED OAK,"This species delivers the classic hardwood look prevalent in turn of the century homes. Red Oak’s heartwood is prized for its predominantly golden and reddish tones, whereas the sapwood will generally be composed of lighter colored boards or boards of a different hue. Different types of interesting grain patterns such as cathedral peaks and linear grain are showcased by the alternating open and closed graining of the wood.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Red-Oak-Excel-5-Pashmina.jpg
Pebble HARD MAPLE,Engineered, SIGNATURE, EVERSHINE™, EXCEL, PEBBLE, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Pebble.jpg
Poesia HARD MAPLE,Engineered, VERITÀ, SMOOTH, EXCEL, POESIA, HARD MAPLE,"This species is primarily known for the tight, even graining of its light colored sapwood, which ranges in color from cream to white with light yellow or red casts depending on the season during which it was sawn. Maple’s heartwood is of a medium brown color and will contrast pleasantly with the sapwood in the grades that feature it. Maple can exhibit certain grain characteristics such as ripple grain and bird’s eye. Hard Maple is also known to some people as Sugar Maple.","Sapwood and heartwood mixed grade, unlimited mineral streaks and character marks permitted, limited sound or patched knots permitted. The average length of planks is better than those of the Advantage grade.","EXCEL: 4"", 5""
PRESTIGE: 4"", 5"" *not pictured","11,4 mm",35-70%,Canada and United States,35-year limited,Nailed or glued,Yes,"Ground floor, upstairs, below the level",,https://appalachianflooring.com/wp-content/uploads/2020/08/Maple-Excel-3_25-Poesia.jpg
